Genus,IDs_x,IDs_y
Caloramator,"['209730068', '2051996', '673920932', '673920931', '673920930', '673920929', '673920928', '673920927', '673920926', '673920925', '349360']","['209730068', '2051996', '673920932', '673920931', '673920930', '673920929', '673920928', '673920927', '673920926', '673920925', '349360']"
Calothrix,"['498424990', '498424977', '498424966', '498424953', '482426653', '374428316', '409924159', '409924158', '409924157', '409924156', '409924155', '403213261', '322504107', '322504106', '118025313', '118025312', '118025311', '118025295', '118025294', '118025293']","['498424990', '498424977', '498424966', '498424953', '482426653', '374428316', '409924159', '409924158', '409924157', '409924156', '409924155', '403213261', '322504107', '322504106', '118025313', '118025312', '118025311', '118025295', '118025294', '118025293']"
Caminicella,['14970763'],['14970763']
Campylobacter,"['2318614651', '2318611956', '2318611757', '2278607910', '2123383781', '2123383780', '1962356797', '1962356611', '1328373156', '1328371684', '1269612891', '1269614157', '1139266174', '174006', '1139291151', '1139290917', '1139290912', '1139290901', '1139290888', '1139290878']","['2318614651', '2318611956', '2318611757', '2278607910', '2123383781', '2123383780', '1962356797', '1962356611', '1328373156', '1328371684', '1269612891', '1269614157', '1139266174', '174006', '1139291151', '1139290917', '1139290912', '1139290901', '1139290888', '1139290878']"
candidate division TM6 bacterium GW2011_GWE2_42_60,[],[]
Candidatus Accumulibacter,[],[]
Candidatus Aquiluna,"['31441936', '189094846', '189094841', '189094840']","['31441936', '189094846', '189094841', '189094840']"
Candidatus Bacilloplasma,[],[]
Candidatus Captivus,[],[]
Candidatus Cloacamonas,"['1079706734', '1041792997', '1041792928', '1041792897', '1041792840', '1041792795', '1041787829', '1041787828', '1041787827', '1041787826', '1041787825', '1041787824', '1041787823', '1041787822', '1041787821', '1041787820', '1041787819', '1041787818', '1041787817', '1041787816']","['1079706734', '1041792997', '1041792928', '1041792897', '1041792840', '1041792795', '1041787829', '1041787828', '1041787827', '1041787826', '1041787825', '1041787824', '1041787823', '1041787822', '1041787821', '1041787820', '1041787819', '1041787818', '1041787817', '1041787816']"
Candidatus Competibacter,[],[]
Candidatus Desulforudis,[],[]
Candidatus Methylomirabilis,['258590833'],['258590833']
Candidatus Moranbacteria bacterium GW2011_GWE2_35_2-,[],[]
Candidatus Nitrotoga,['1079707025'],['1079707025']
Candidatus Nucleicultrix amoebiphila,[],[]
Candidatus Odyssella,"['192806190', '192806153', '192805467', '192805457', '192805446', '192804963', '192804909', '192804813', '192804786', '192804762', '192804594', '192804432', '192804382']","['192806190', '192806153', '192805467', '192805457', '192805446', '192804963', '192804909', '192804813', '192804786', '192804762', '192804594', '192804432', '192804382']"
Candidatus Peribacter riflensis,[],[]
Candidatus Phytoplasma,"['2095627189', '1928118363', '1928118362', '1928118361', '1928118360', '1741447027', '1737725563', '1737725562', '1552474828', '1552474827', '1552474826', '1552474825', '1552474824', '1552474823', '1552474822', '1552474821', '1552474820', '1552474819', '1552474818', '1552474817']","['2095627189', '1928118363', '1928118362', '1928118361', '1928118360', '1741447027', '1737725563', '1737725562', '1552474828', '1552474827', '1552474826', '1552474825', '1552474824', '1552474823', '1552474822', '1552474821', '1552474820', '1552474819', '1552474818', '1552474817']"
Candidatus Planktophila,['927920366'],['927920366']
Candidatus Profftella,[],[]
Candidatus Rhabdochlamydi,[],[]
Candidatus Soleaferrea,"['2278608054', '1419210163']","['2278608054', '1419210163']"
Candidatus Solibacter,"['1079706939', '172052205', '219901191', '219898501']","['1079706939', '172052205', '219901191', '219898501']"
Candidatus Symbiobacter,[],[]
Candidatus Xiphinematobacter,[],[]
Capnocytophaga,"['1962356520', '1962355950', '1962355926', '1139277704', '1139275134', '1139266942', '1139291177', '1139291167', '1139291157', '1139291144', '1139291142', '1139291128', '1139291114', '1139290741', '1139290377', '1139290372', '1139290367', '1139289900', '1139289894', '1139289403']","['1962356520', '1962355950', '1962355926', '1139277704', '1139275134', '1139266942', '1139291177', '1139291167', '1139291157', '1139291144', '1139291142', '1139291128', '1139291114', '1139290741', '1139290377', '1139290372', '1139290367', '1139289900', '1139289894', '1139289403']"
Caproiciproducens,['2318611183'],['2318611183']
Carboxydocella,[],[]
Cardiobacterium,"['2278607911', '2104759761', '1962355799', '1063149903', '162848995']","['2278607911', '2104759761', '1962355799', '1063149903', '162848995']"
Carnimonas,['2808527'],['2808527']
Carnobacterium,"['1145450930', '1145450925', '1145450924', '1341269515', '1139291126', '1139288301', '1139283708', '1139283508', '1139283499', '1139283139', '1139282341', '1139282339', '1139281524', '1139281472', '1139276778', '1139274129', '1139271330', '1139271185', '1139271058', '1139269946']","['1145450930', '1145450925', '1145450924', '1341269515', '1139291126', '1139288301', '1139283708', '1139283508', '1139283499', '1139283139', '1139282341', '1139282339', '1139281524', '1139281472', '1139276778', '1139274129', '1139271330', '1139271185', '1139271058', '1139269946']"
Caulobacter,"['1985648127', '1985647926', '1985647431', '1985647161', '1985646947', '1985645193', '1985644534', '1985644383', '1962356899', '1862917195', '1691059633', '1674370654', '1614056614', '1269613472', '1219551632', '1033472639', '1033472625', '998612221', '994077505', '984880236']","['1985648127', '1985647926', '1985647431', '1985647161', '1985646947', '1985645193', '1985644534', '1985644383', '1962356899', '1862917195', '1691059633', '1674370654', '1614056614', '1269613472', '1219551632', '1033472639', '1033472625', '998612221', '994077505', '984880236']"
Cedecea,"['1862917146', '673920935', '673920934', '673920933', '397174168', '166408914', '166408909', '166408859']","['1862917146', '673920935', '673920934', '673920933', '397174168', '166408914', '166408909', '166408859']"
Cellulomonas,"['2472115721', '2265463568', '1985644002', '1962359102', '1674370638', '1251753558', '1219551384', '1219551369', '1219551336', '1219551334', '1219551331', '1219551154', '1219551096', '1219551086', '1219551076', '1219551065', '1219550593', '1219550423', '1219550361', '1215531042']","['2472115721', '2265463568', '1985644002', '1962359102', '1674370638', '1251753558', '1219551384', '1219551369', '1219551336', '1219551334', '1219551331', '1219551154', '1219551096', '1219551086', '1219551076', '1219551065', '1219550593', '1219550423', '1219550361', '1215531042']"
Cellulosimicrobium,"['2283394915', '2056114386', '1997760214', '1635510468', '1635510435', '1417735350', '1417735349', '1417735348', '1417735347', '1417735346', '1417735345', '914241953', '1139287723', '1139287409', '1139284750', '1139284742', '1139284740', '1139284733', '1139284429', '1139284428']","['2283394915', '2056114386', '1997760214', '1635510468', '1635510435', '1417735350', '1417735349', '1417735348', '1417735347', '1417735346', '1417735345', '914241953', '1139287723', '1139287409', '1139284750', '1139284742', '1139284740', '1139284733', '1139284429', '1139284428']"
Chitinophaga,"['1985647202', '1985646736', '1985643010', '1417735352', '1417735351', '1363983643', '1363983563', '1248816577', '1219552673', '1041792935', '1033473429', '1033472440', '939460422', '939460417', '939460319', '939460314', '820947161', '261856988', '672229257', '672229255']","['1985647202', '1985646736', '1985643010', '1417735352', '1417735351', '1363983643', '1363983563', '1248816577', '1219552673', '1041792935', '1033473429', '1033472440', '939460422', '939460417', '939460319', '939460314', '820947161', '261856988', '672229257', '672229255']"
Chlorobi bacterium,[],[]
Chlorochromatium,['922959700'],['922959700']
Christensenellaceae R-7 group,[],[]
Chryseobacterium,"['2303472128', '2302170222', '1985646133', '1985643678', '1985643630', '1962359361', '1962356820', '1962356568', '1962355928', '1962354561', '1962354359', '1962353829', '1877246834', '1877246820', '1877246797', '1877246745', '1877246744', '1877246735', '1877246459', '1877246458']","['2303472128', '2302170222', '1985646133', '1985643678', '1985643630', '1962359361', '1962356820', '1962356568', '1962355928', '1962354561', '1962354359', '1962353829', '1877246834', '1877246820', '1877246797', '1877246745', '1877246744', '1877246735', '1877246459', '1877246458']"
Chryseoglobus,"['1248817371', '1190331584', '1041788042', '998612231', '531033834', '413958045', '169807745', '56542034', '56542037', '56542036', '56542035']","['1248817371', '1190331584', '1041788042', '998612231', '531033834', '413958045', '169807745', '56542034', '56542037', '56542036', '56542035']"
Citricoccus,"['1268844083', '1248817287', '1169099248', '1031978571', '1031978564', '1031978529', '1005260961', '932856661', '762219256', '762218828', '762218281', '762217799', '222112955', '301335058', '50582918', '50582917', '60219030', '60219029', '78033694', '78033692']","['1268844083', '1248817287', '1169099248', '1031978571', '1031978564', '1031978529', '1005260961', '932856661', '762219256', '762218828', '762218281', '762217799', '222112955', '301335058', '50582918', '50582917', '60219030', '60219029', '78033694', '78033692']"
Citrobacter,"['2318612213', '2317440048', '2283394920', '2278607916', '2265463967', '2104758924', '1915674770', '1827494914', '1145450922', '1363983696', '1363983631', '1363983620', '1363983558', '1139277483', '1109648320', '1109648313', '1109648312', '1109648311', '1109648304', '1109648303']","['2318612213', '2317440048', '2283394920', '2278607916', '2265463967', '2104758924', '1915674770', '1827494914', '1145450922', '1363983696', '1363983631', '1363983620', '1363983558', '1139277483', '1109648320', '1109648313', '1109648312', '1109648311', '1109648304', '1109648303']"
CL500-29 marine group,[],[]
Clavibacter,"['355390185', '927920351', '762210324', '472820487', '548937441', '548937419', '344312456', '344312455', '344312454', '344312453', '344312452', '344312451', '344312450', '344312449', '344312448', '344312447', '344312446', '344312445', '344312434', '344312433']","['355390185', '927920351', '762210324', '472820487', '548937441', '548937419', '344312456', '344312455', '344312454', '344312453', '344312452', '344312451', '344312450', '344312449', '344312448', '344312447', '344312446', '344312445', '344312434', '344312433']"
Cloacibacterium,"['1962354265', '1269613746', '1219551640', '1219551639', '1219551637', '1219551635', '1219551605', '1219551603', '1219551602', '1219550408', '1139285018', '1139274868', '1139274863', '1139274845', '1139274835', '1139274813', '1139274798', '1139272273', '1139272267', '1139264802']","['1962354265', '1269613746', '1219551640', '1219551639', '1219551637', '1219551635', '1219551605', '1219551603', '1219551602', '1219550408', '1139285018', '1139274868', '1139274863', '1139274845', '1139274835', '1139274813', '1139274798', '1139272273', '1139272267', '1139264802']"
Clostridia bacterium,[],[]
Clostridium,"['2318625970', '2318619396', '2318616155', '2318612385', '2318612293', '2318612166', '2318611699', '2318611547', '2318611484', '2303472194', '2283786000', '2055419549', '820660841', '820660837', '820660834', '1868669465', '381140144', '1778013553', '1778013552', '1547055218']","['2318625970', '2318619396', '2318616155', '2318612385', '2318612293', '2318612166', '2318611699', '2318611547', '2318611484', '2303472194', '2283786000', '2055419549', '820660841', '820660837', '820660834', '1868669465', '381140144', '1778013553', '1778013552', '1547055218']"
Clostridium sensu stricto,[],[]
Clostridium sensu stricto 1,[],[]
Clostridium sensu stricto 12,[],[]
Clostridium sensu stricto 13,[],[]
Clostridium sensu stricto 3,[],[]
Clostridium sensu stricto 5,[],[]
Clostridium sensu stricto 9,[],[]
Cobetia,"['2295461642', '2295461626', '2295461509', '2295461443', '1795714377', '1041792278', '1020158670', '1020158668', '1020158610', '937833163', '937833158', '937833122', '927028361', '858222944', '841296276', '507588179', '507588170', '507588162', '507581269', '413915415']","['2295461642', '2295461626', '2295461509', '2295461443', '1795714377', '1041792278', '1020158670', '1020158668', '1020158610', '937833163', '937833158', '937833122', '927028361', '858222944', '841296276', '507588179', '507588170', '507588162', '507581269', '413915415']"
Cohnella,"['1985645829', '1985645469', '1962359566', '1674370615', '1674370567', '1008904091', '974985180', '939460398', '451170697', '451170696', '451170695', '451170694', '451170693', '451171390', '387155520', '393186906', '393186905', '393186904', '393186903', '385145358']","['1985645829', '1985645469', '1962359566', '1674370615', '1674370567', '1008904091', '974985180', '939460398', '451170697', '451170696', '451170695', '451170694', '451170693', '451171390', '387155520', '393186906', '393186905', '393186904', '393186903', '385145358']"
Collinsella,"['2318644197', '2318643117', '2318642597', '2318640962', '2318637296', '2318632944', '2318626162', '2318626058', '2318624867', '2318620359', '2318618856', '2318618244', '2318614666', '2318613509', '2318612516', '2318611460', '2318611055', '2278607920', '1269613250', '1269612829']","['2318644197', '2318643117', '2318642597', '2318640962', '2318637296', '2318632944', '2318626162', '2318626058', '2318624867', '2318620359', '2318618856', '2318618244', '2318614666', '2318613509', '2318612516', '2318611460', '2318611055', '2278607920', '1269613250', '1269612829']"
Colwellia,"['1795714350', '1795714349', '1795714348', '1795714347', '1795714346', '1795714345', '1795714344', '1795714343', '1795714342', '1373834409', '1373834408', '1269612920', '1269614165', '1269612956', '953940053', '998615772', '998613357', '937833253', '937833204', '937833189']","['1795714350', '1795714349', '1795714348', '1795714347', '1795714346', '1795714345', '1795714344', '1795714343', '1795714342', '1373834409', '1373834408', '1269612920', '1269614165', '1269612956', '953940053', '998615772', '998613357', '937833253', '937833204', '937833189']"
Comamonas,"['2278607921', '2265463653', '1985646067', '1962356510', '1877246377', '1756572631', '1703531692', '1395162139', '1363983556', '1269613490', '1248816600', '1248816594', '1248816593', '1219553151', '1219553131', '1219553126', '1219553119', '1219553118', '1219553117', '1219553084']","['2278607921', '2265463653', '1985646067', '1962356510', '1877246377', '1756572631', '1703531692', '1395162139', '1363983556', '1269613490', '1248816600', '1248816594', '1248816593', '1219553151', '1219553131', '1219553126', '1219553119', '1219553118', '1219553117', '1219553084']"
Coprococcus,"['2318645518', '2318645460', '2318645346', '2318644287', '2318643793', '2318643402', '2318643188', '2318643031', '2318642492', '2318642386', '2318642371', '2318642168', '2318641994', '2318641808', '2318641655', '2318641596', '2318641527', '2318641441', '2318641180', '2318640848']","['2318645518', '2318645460', '2318645346', '2318644287', '2318643793', '2318643402', '2318643188', '2318643031', '2318642492', '2318642386', '2318642371', '2318642168', '2318641994', '2318641808', '2318641655', '2318641596', '2318641527', '2318641441', '2318641180', '2318640848']"
Coprothermobacter,"['1079705190', '1079705086', '914241925', '28170634', '28170633', '28144601', '28144598', '2764997']","['1079705190', '1079705086', '914241925', '28170634', '28170633', '28144601', '28144598', '2764997']"
Corynebacterium,"['2318612267', '2306632722', '2302170227', '2278607924', '2265463538', '2104758927', '1962359378', '1962356581', '1962355919', '1962354668', '1962354582', '1962354512', '1962354456', '1962354305', '1962354283', '1962354064', '1885913355', '1862966248', '1862966247', '1731305085']","['2318612267', '2306632722', '2302170227', '2278607924', '2265463538', '2104758927', '1962359378', '1962356581', '1962355919', '1962354668', '1962354582', '1962354512', '1962354456', '1962354305', '1962354283', '1962354064', '1885913355', '1862966248', '1862966247', '1731305085']"
Corynebacterium 1,[],[]
Coxiella,"['1985647403', '1196823813', '1196823809', '1196823806', '1196823804', '1196823801', '1149120429', '1149120428', '1149120427', '1149120426', '1149120425', '1149120424', '1149120423', '1149120422', '1149120421', '1149120420', '998611573', '187268901', '192806368', '192806310']","['1985647403', '1196823813', '1196823809', '1196823806', '1196823804', '1196823801', '1149120429', '1149120428', '1149120427', '1149120426', '1149120425', '1149120424', '1149120423', '1149120422', '1149120421', '1149120420', '998611573', '187268901', '192806368', '192806310']"
Crenothrix,['192805523'],['192805523']
Croceicoccus,"['1985645447', '1050996486', '560878746']","['1985645447', '1050996486', '560878746']"
Cryobacterium,"['998610528', '631782743', '315002285', '332800773', '332800770', '332800769', '332800761', '332800753', '308814757', '117644158', '220981167', '66392712', '28372055', '9369270']","['998610528', '631782743', '315002285', '332800773', '332800770', '332800769', '332800761', '332800753', '308814757', '117644158', '220981167', '66392712', '28372055', '9369270']"
Cupriavidus,"['571026365', '1985643037', '1691059652', '1691059607', '1691059605', '1691059599', '1691059598', '1691059568', '1614056627', '1614056599', '1614056598', '1614056594', '1614056593', '1614056577', '1409925202', '1409925200', '1409925199', '1409925197', '1409925196', '1409925194']","['571026365', '1985643037', '1691059652', '1691059607', '1691059605', '1691059599', '1691059598', '1691059568', '1614056627', '1614056599', '1614056598', '1614056594', '1614056593', '1614056577', '1409925202', '1409925200', '1409925199', '1409925197', '1409925196', '1409925194']"
Curtobacterium,"['1877246601', '1877246589', '1769932958', '1756572632', '1674370584', '1635510538', '1356684126', '1238780500', '1215531028', '558476459', '558476458', '984880448', '984880449', '939460285', '635557356', '930697102', '590121460', '590121427', '590121426', '590121419']","['1877246601', '1877246589', '1769932958', '1756572632', '1674370584', '1635510538', '1356684126', '1238780500', '1215531028', '558476459', '558476458', '984880448', '984880449', '939460285', '635557356', '930697102', '590121460', '590121427', '590121426', '590121419']"
Curvibacter,"['1516607845', '1215530943', '1052698738', '1033474521', '974982900', '974982867', '954166316', '613405082', '613405076', '613405070', '613405069', '613405067', '613405065', '631775373', '223019584', '387911671', '371786947', '315002315', '347657635', '335055724']","['1516607845', '1215530943', '1052698738', '1033474521', '974982900', '974982867', '954166316', '613405082', '613405076', '613405070', '613405069', '613405067', '613405065', '631775373', '223019584', '387911671', '371786947', '315002315', '347657635', '335055724']"
Cutibacterium,"['1987721566', '1898669149', '1898669145', '1898669144', '1898669141', '1898669138', '1898669137', '1898669136', '1898669135', '1898669134', '1898669131', '1898669130', '1898669128', '1898669127', '1898669125', '1898669124', '1898669123', '1868669468', '1674370569', '1674370619']","['1987721566', '1898669149', '1898669145', '1898669144', '1898669141', '1898669138', '1898669137', '1898669136', '1898669135', '1898669134', '1898669131', '1898669130', '1898669128', '1898669127', '1898669125', '1898669124', '1898669123', '1868669468', '1674370569', '1674370619']"
Cyanobacterium,"['1985648264', '1985648181', '1985648010', '1985647951', '1985647279', '1985646606', '1985645850', '1985643895', '1985643651', '1985643220', '136053996', '972718691', '807778506', '807778505', '807778504', '807778503', '807778502', '807778501', '807778500', '807778499']","['1985648264', '1985648181', '1985648010', '1985647951', '1985647279', '1985646606', '1985645850', '1985643895', '1985643651', '1985643220', '136053996', '972718691', '807778506', '807778505', '807778504', '807778503', '807778502', '807778501', '807778500', '807778499']"
cyanobacterium TDX16,[],[]
Cytophaga,"['1985647461', '1985645688', '1985644517', '1962353812', '927920360', '254995682', '256772654', '219930762', '218057410', '215414348', '255957405', '56291760', '34787175', '84452183', '84452179', '110681416', '82173846', '83318816', '83318815', '83318814']","['1985647461', '1985645688', '1985644517', '1962353812', '927920360', '254995682', '256772654', '219930762', '218057410', '215414348', '255957405', '56291760', '34787175', '84452183', '84452179', '110681416', '82173846', '83318816', '83318815', '83318814']"
DA101,[],[]
DCE29,[],[]
Dechlorobacter,[],[]
Dechloromonas,"['1985647631', '1985645926', '1206270228', '1206269627', '1079706616', '1033472880', '937957377', '325974603', '295981076', '295981075', '295981074', '295981073', '295981072', '295981071', '295981070', '295981069', '295981068', '295981067', '295981066', '295981065']","['1985647631', '1985645926', '1206270228', '1206269627', '1079706616', '1033472880', '937957377', '325974603', '295981076', '295981075', '295981074', '295981073', '295981072', '295981071', '295981070', '295981069', '295981068', '295981067', '295981066', '295981065']"
Dechlorosoma,"['1219551464', '1219551462', '1219551461', '1219551459', '1219551458', '1219551457', '1219551456', '1219551450', '1219551441', '1219551423', '1219551402', '1219551399', '1219551250', '1219551238', '1219551233', '1219551203', '1219550793', '1219550379', '1033472697', '1033471739']","['1219551464', '1219551462', '1219551461', '1219551459', '1219551458', '1219551457', '1219551456', '1219551450', '1219551441', '1219551423', '1219551402', '1219551399', '1219551250', '1219551238', '1219551233', '1219551203', '1219550793', '1219550379', '1033472697', '1033471739']"
Deefgea,"['298357262', '189231390', '189231318', '189231295', '189231283', '113531037']","['298357262', '189231390', '189231318', '189231295', '189231283', '113531037']"
Defluviicoccus,"['1079706951', '444737602', '444737601', '444737582', '295981386', '192805616', '192805022', '192804561']","['1079706951', '444737602', '444737601', '444737582', '295981386', '192805616', '192805022', '192804561']"
Dehalobacter,"['254995722', '301170623', '114649535', '21068585', '4107358', '4107348', '1752662']","['254995722', '301170623', '114649535', '21068585', '4107358', '4107348', '1752662']"
Dehalobacter_Syntrophobotulus,[],[]
Dehalobacterium,"['2278607930', '1328370287', '953174']","['2278607930', '1328370287', '953174']"
Dehalogenimonas ,"['1206256155', '1033474444', '669632955', '444736467', '444735391', '444735367', '444735354', '444735342', '444735330']","['1206256155', '1033474444', '669632955', '444736467', '444735391', '444735367', '444735354', '444735342', '444735330']"
Deinococcus,"['2265463607', '1985643910', '1962359611', '1962359548', '1962359505', '1962356554', '1962356453', '1962356447', '1962355782', '1962354527', '1962354494', '1962354436', '1962354244', '1962354085', '1962353900', '1674370598', '1339662552', '1279335680', '1219552660', '1215531077']","['2265463607', '1985643910', '1962359611', '1962359548', '1962359505', '1962356554', '1962356453', '1962356447', '1962355782', '1962354527', '1962354494', '1962354436', '1962354244', '1962354085', '1962353900', '1674370598', '1339662552', '1279335680', '1219552660', '1215531077']"
Delftia,"['820661307', '1605110062', '1363982457', '1363982454', '1363982451', '1363982448', '1363982446', '1363982443', '1363982441', '1363982438', '1363982434', '1363982430', '1219553144', '1219553140', '1219553138', '1219553136', '1219553130', '1219553128', '1219553092', '1219552971']","['820661307', '1605110062', '1363982457', '1363982454', '1363982451', '1363982448', '1363982446', '1363982443', '1363982441', '1363982438', '1363982434', '1363982430', '1219553144', '1219553140', '1219553138', '1219553136', '1219553130', '1219553128', '1219553092', '1219552971']"
Denitratisoma,"['297370680', '192806581', '192806545', '192806531', '192806468', '192806453', '192806312', '192806258', '192806199', '192806160', '192806028', '192806011', '192805677', '192805664', '192805580', '192805548', '192805419', '192805287', '192805062', '192805012']","['297370680', '192806581', '192806545', '192806531', '192806468', '192806453', '192806312', '192806258', '192806199', '192806160', '192806028', '192806011', '192805677', '192805664', '192805580', '192805548', '192805419', '192805287', '192805062', '192805012']"
denitrifying bacterium enrichment culture clone NOB_0_E6,[],[]
Dermabacter,"['1962356559', '754501383', '1359603', '599728']","['1962356559', '754501383', '1359603', '599728']"
Derxia ,"['219913952', '285307158', '192806500', '192806488', '192806446', '192806216', '192806210', '192806195', '192806061', '192806036', '192805601', '192805369', '192805212', '192805112', '192805053', '192804736', '192804676', '192804616', '192804598', '192804494']","['219913952', '285307158', '192806500', '192806488', '192806446', '192806216', '192806210', '192806195', '192806061', '192806036', '192805601', '192805369', '192805212', '192805112', '192805053', '192804736', '192804676', '192804616', '192804598', '192804494']"
Desemzia,"['1962354610', '932855183', '807778477', '807778476', '807778475', '807778474', '261335874', '155968501', '4455921']","['1962354610', '932855183', '807778477', '807778476', '807778475', '807778474', '261335874', '155968501', '4455921']"
Desulfatiglans,['4581229'],['4581229']
Desulfitobacter,"['1041791699', '1041791698']","['1041791699', '1041791698']"
Desulfitobacterium,"['698320581', '698315210', '1219550508', '325974621', '254995732', '254995731', '565246', '301170631', '114649537', '37936246', '34481866', '11932118', '18643935', '12050110', '1915888', '1915887', '1429363']","['698320581', '698315210', '1219550508', '325974621', '254995732', '254995731', '565246', '301170631', '114649537', '37936246', '34481866', '11932118', '18643935', '12050110', '1915888', '1915887', '1429363']"
Desulfobacca,"['295981311', '192804811', '192804794', '192804683', '192804648']","['295981311', '192804811', '192804794', '192804683', '192804648']"
Desulfobacterium,"['998611478', '762210926', '762210909', '762210893', '762210850', '762210741', '762210691', '762210616', '762210593', '762207639', '762207620', '238802732', '242246780', '242246750', '242246740', '242246583', '242246566', '242246457', '242246450', '4581233']","['998611478', '762210926', '762210909', '762210893', '762210850', '762210741', '762210691', '762210616', '762210593', '762207639', '762207620', '238802732', '242246780', '242246750', '242246740', '242246583', '242246566', '242246457', '242246450', '4581233']"
Desulfobulbus,"['1328372350', '1328371957', '1328370918', '1328369658', '1328369341', '1328369191', '1328369156', '1206270096', '1206270068', '1206269684', '1206269643', '1206269480', '1139276125', '1079706889', '1079706351', '1079706281', '1079705115', '1041792270', '1033473670', '1033473617']","['1328372350', '1328371957', '1328370918', '1328369658', '1328369341', '1328369191', '1328369156', '1206270096', '1206270068', '1206269684', '1206269643', '1206269480', '1139276125', '1079706889', '1079706351', '1079706281', '1079705115', '1041792270', '1033473670', '1033473617']"
Desulfocapsa,"['187268898', '172052186', '34787195', '28881852', '23954310', '2808554', '1658304']","['187268898', '172052186', '34787195', '28881852', '23954310', '2808554', '1658304']"
Desulfomicrobium,"['349727726', '349727725', '349727724', '349727723', '349727722', '349727721', '349727720', '349727719', '1962354074', '1474366746', '1206269865', '1206269530', '1206269481', '1033473898', '148878780', '148878779', '148878778', '594592419', '219940300', '57864000']","['349727726', '349727725', '349727724', '349727723', '349727722', '349727721', '349727720', '349727719', '1962354074', '1474366746', '1206269865', '1206269530', '1206269481', '1033473898', '148878780', '148878779', '148878778', '594592419', '219940300', '57864000']"
Desulfomonile,"['1420811373', '187936524', '187268899', '319992937', '319992936', '319992935', '319992934', '319992933', '319992932', '319992931', '301170694', '242246521', '151558797', '76360099', '15387703', '15387702', '15387701', '15387700', '15387699']","['1420811373', '187936524', '187268899', '319992937', '319992936', '319992935', '319992934', '319992933', '319992932', '319992931', '301170694', '242246521', '151558797', '76360099', '15387703', '15387702', '15387701', '15387700', '15387699']"
Desulfosporosinus,"['349727737', '37653299', '1206270163', '1206269968', '1033474112', '1033473716', '1033472939', '520957818', '520957816', '520957814', '469402033', '469402029', '469402027', '469402022', '469402021', '317447144', '317447123', '291482207', '291482203', '291482201']","['349727737', '37653299', '1206270163', '1206269968', '1033474112', '1033473716', '1033472939', '520957818', '520957816', '520957814', '469402033', '469402029', '469402027', '469402022', '469402021', '317447144', '317447123', '291482207', '291482203', '291482201']"
Desulfotomaculum,"['1985648106', '86475545', '699045408', '699045403', '667467322', '443301480', '538765906', '538765903', '469402026', '469402024', '510934717', '271278021', '112806815', '219940301', '32959674', '71532890', '71532889', '71532888', '11230400', '11230399']","['1985648106', '86475545', '699045408', '699045403', '667467322', '443301480', '538765906', '538765903', '469402026', '469402024', '510934717', '271278021', '112806815', '219940301', '32959674', '71532890', '71532889', '71532888', '11230400', '11230399']"
Desulfovibrio,"['2318640977', '2318626492', '2318625612', '2318623970', '2318623600', '2318621526', '2318619873', '2318616081', '2318612124', '2318611765', '2318611311', '2278607933', '1419210149', '1419210148', '1419210146', '1419210138', '1419210129', '1399386469', '1399386468', '1399386451']","['2318640977', '2318626492', '2318625612', '2318623970', '2318623600', '2318621526', '2318619873', '2318616081', '2318612124', '2318611765', '2318611311', '2278607933', '1419210149', '1419210148', '1419210146', '1419210138', '1419210129', '1399386469', '1399386468', '1399386451']"
Desulfuribacillus,[],[]
Desulfurispora,[],[]
Desulfurivibrio,"['1079707062', '1079706863']","['1079707062', '1079706863']"
Desulfuromonadales bacterium JN18_A94_J,[],[]
Desulfuromonas,"['1985648072', '1079707030', '998611650', '914241851', '914241850', '914241849', '914241847', '914241846', '914241845', '332368651', '325974605', '302189963', '299034774', '114649536', '2326420']","['1985648072', '1079707030', '998611650', '914241851', '914241850', '914241849', '914241847', '914241846', '914241845', '332368651', '325974605', '302189963', '299034774', '114649536', '2326420']"
Dethiobacter,"['1079705692', '1079705603', '1079705172', '1041791967', '1041791966', '1041791965', '1041791964', '1033471874', '317448923', '317447148', '317447112', '317447109', '355320081', '355320079', '355320075', '355320066', '355320064', '355320053', '355320040', '345640960']","['1079705692', '1079705603', '1079705172', '1041791967', '1041791966', '1041791965', '1041791964', '1033471874', '317448923', '317447148', '317447112', '317447109', '355320081', '355320079', '355320075', '355320066', '355320064', '355320053', '355320040', '345640960']"
Dethiosulfatibacter,['183979112'],['183979112']
Devosia,"['1985647818', '1985647593', '1985647102', '1985646520', '1985646486', '1985646466', '1985646420', '1985646208', '1985646188', '1985646150', '1985645933', '1985645703', '1985645621', '1985645471', '1985645418', '1985645182', '1985644412', '1985643969', '1985643351', '1985643121']","['1985647818', '1985647593', '1985647102', '1985646520', '1985646486', '1985646466', '1985646420', '1985646208', '1985646188', '1985646150', '1985645933', '1985645703', '1985645621', '1985645471', '1985645418', '1985645182', '1985644412', '1985643969', '1985643351', '1985643121']"
Dialister,"['2318645260', '2318643879', '2318643778', '2318643646', '2318643173', '2318642989', '2318642671', '2318642670', '2318642432', '2318641698', '2318641500', '2318641222', '2318640890', '2318640847', '2318640775', '2318640485', '2318640484', '2318638903', '2318638457', '2318637783']","['2318645260', '2318643879', '2318643778', '2318643646', '2318643173', '2318642989', '2318642671', '2318642670', '2318642432', '2318641698', '2318641500', '2318641222', '2318640890', '2318640847', '2318640775', '2318640485', '2318640484', '2318638903', '2318638457', '2318637783']"
