uniprot_id	ec_number	protein_name	organism	score
C0QFE0_DESAH	EC:1.7.99.1	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A9D7SGJ5_9BACT	EC:1.7.99.4	Nitrate reductase subunit beta (EC 1.7.99.4)	Candidatus Geothrix skivensis	150
D8IQK8_HERSS	EC:1.7.99.4	Respiratory nitrate reductase protein (EC 1.7.99.4)	Herbaspirillum seropedicae (strain SmR1)	250
A0A7L7VWD7_9MICC	EC:1.7.99.4	Nitrate reductase subunit beta (EC 1.7.99.4)	Pseudarthrobacter sp. BIM B-2242	250
A0AAW8NAZ4_PSEOX	EC:1.8.1.15	Mycothione reductase (EC 1.8.1.15)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
D8J1K9_HERSS	EC:1.8.1.2	Sulfite reductase, flavoprotein component, protein (EC 1.8.1.2)	Herbaspirillum seropedicae (strain SmR1)	250
A0A2W1K3P6_ACIFR	EC:1.8.1.2	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	Acidithiobacillus ferrooxidans (Thiobacillus ferrooxidans)	150
A0A2G8IZE5_BACPU	EC:1.8.1.4	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	Bacillus pumilus (Bacillus mesentericus)	250
A0A0N0JWB9_9PROT	EC:1.8.1.4	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	beta proteobacterium AAP99	150
C0QJI9_DESAH	EC:1.8.1.4	Dihydrolipoyl dehydrogenase (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (EC 1.8.1.4)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0AAD0XHW1_9BURK	EC:1.8.1.4	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	Herbaspirillum rubrisubalbicans	650
A0A7K1NI22_9MICC	EC:1.8.1.4	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	Pseudarthrobacter sp. GA104	250
D8J209_HERSS	EC:1.8.1.7	Glutathione reductase protein (EC 1.8.1.7)	Herbaspirillum seropedicae (strain SmR1)	250
A0A0N0E4E7_9PSED	EC:1.8.1.7	Glutathione reductase (GRase) (EC 1.8.1.7)	Pseudomonas fuscovaginae	650
B6BVM9_9PROT	EC:1.8.1.8	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8)	beta proteobacterium KB13	150
D9QIY5_BRESC	EC:1.8.1.8	Protein-disulfide reductase (EC 1.8.1.8)	Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81) (Caulobacter subvibrioides)	150
C0QD45_DESAH	EC:1.8.1.8	DsbD (EC 1.8.1.8)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A1K1LBQ8_9BACT	EC:1.8.1.8	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	Desulfovibrio piger	650
A0A9D7XHA0_9BACT	EC:1.8.1.8	Protein-disulfide reductase DsbD (EC 1.8.1.8)	Candidatus Geothrix skivensis	150
I3CMN7_9BURK	EC:1.8.1.8	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase)	Herbaspirillum sp. GW103	250
M1SU17_9PROT	EC:1.8.1.9	Thioredoxin reductase (EC 1.8.1.9)	beta proteobacterium CB	150
A0A1S8QPB1_CLOBE	EC:1.8.1.9	Thioredoxin reductase (EC 1.8.1.9)	Clostridium beijerinckii (Clostridium MP)	250
C0QM38_DESAH	EC:1.8.1.9	Thioredoxin reductase (EC 1.8.1.9)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A5F0LY92_9BURK	EC:1.8.1.9	Thioredoxin reductase (EC 1.8.1.9)	Herbaspirillum sp. 3C11	250
A0A973T9E1_9MICC	EC:1.8.1.9	Thioredoxin reductase (EC 1.8.1.9)	Pseudarthrobacter sp	650
A0A0N1L2B5_9PROT	EC:1.8.4.11	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	beta proteobacterium AAP51	150
E1YEX5_9BACT	EC:1.8.4.11	peptide-methionine (S)-S-oxide reductase (EC 1.8.4.11)	uncultured Desulfobacterium sp	150
A0A7V8FTX8_9BURK	EC:1.8.4.11	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	Herbaspirillum frisingense	650
A0A7K1NRJ9_9MICC	EC:1.8.4.11	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	Pseudarthrobacter sp. GA104	250
A0A0N1L007_9PROT	EC:1.8.4.12	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	beta proteobacterium AAP65	150
E1YEX7_9BACT	EC:1.8.4.12	peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	uncultured Desulfobacterium sp	150
A0A839VAT3_9BURK	EC:1.8.4.12	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	Herbaspirillum sp. Sphag64	250
A0A5R8WGZ4_9MICC	EC:1.8.4.12	peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	Pseudarthrobacter sp. NamE2	250
M1WQ24_PSEP2	EC:1.8.4.8	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8)	Pseudodesulfovibrio piezophilus (strain DSM 21447 / JCM 15486 / C1TLV30) (Desulfovibrio piezophilus)	150
B8HDR6_PSECP	EC:1.8.4.8	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus)	250
A0AAJ3UD25_9MICC	EC:1.8.7.1	assimilatory sulfite reductase (ferredoxin) (EC 1.8.7.1)	Micrococcus sp. KBS0714	250
A0A4Y6R0F9_9MICC	EC:1.8.7.1	assimilatory sulfite reductase (ferredoxin) (EC 1.8.7.1)	Pseudarthrobacter sp. NIBRBAC000502772	250
A0A445MQU2_9BACT	EC:1.8.98.1	CoB--CoM heterodisulfide reductase (EC 1.8.98.1)	uncultured Desulfobacterium sp	150
C0QHK8_DESAH	EC:1.8.99.2	AprA (EC 1.8.99.2)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
C0QDN9_DESAH	EC:1.8.99.3	DsrC (EC 1.8.99.3)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
F6DPA5_DESRL	EC:1.8.99.3	Sulfur relay protein, TusE/DsrC/DsvC family (EC 1.8.99.3)	Desulforamulus ruminis (strain ATCC 23193 / DSM 2154 / NCIMB 8452 / DL) (Desulfotomaculum ruminis)	150
A0A445MW92_9BACT	EC:1.8.99.5	Sulfite reductase, dissimilatory-type subunit alpha (EC 1.8.99.5)	uncultured Desulfobacterium sp	150
D8J1B5_HERSS	EC:1.9.3.1	Cbb3-type cytochrome c oxidase, subunit II transmembrane protein (EC 1.9.3.1)	Herbaspirillum seropedicae (strain SmR1)	250
D5VNS7_CAUST	EC:1.9.3.1	Cytochrome o ubiquinol oxidase, subunit I (EC 1.9.3.1)	Caulobacter segnis (strain ATCC 21756 / DSM 7131 / JCM 7823 / NBRC 15250 / LMG 17158 / TK0059) (Mycoplana segnis)	150
C0QHP0_DESAH	EC:1.97.1.4	PflA (EC 1.97.1.4)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A2U3LLB3_9FIRM	EC:1.97.1.4	(Formate-C-acetyltransferase)-activating enzyme or (Glycerol dehydratase)-activating enzyme or another (Organic radical enzyme)-activating enzyme (EC 1.97.1.4)	Candidatus Desulfosporosinus infrequens	150
F6DRK8_DESRL	EC:1.97.1.4	Glycyl-radical enzyme activating protein family (EC 1.97.1.4)	Desulforamulus ruminis (strain ATCC 23193 / DSM 2154 / NCIMB 8452 / DL) (Desulfotomaculum ruminis)	150
A0AAW8NJ37_PSEOX	EC:2.1.1.10	Homocysteine S-methyltransferase (EC 2.1.1.10)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0AAP3YHL3_BACAM	EC:2.1.1.107	uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	Bacillus amyloliquefaciens (Bacillus velezensis)	250
M1T1D5_9PROT	EC:2.1.1.107	uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	beta proteobacterium CB	150
A0A445N2A1_9BACT	EC:2.1.1.107	uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	uncultured Desulfobacterium sp	150
A0A839VRS7_9BURK	EC:2.1.1.107	uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	Herbaspirillum sp. Sphag64	250
A0A5R8W8Q7_9MICC	EC:2.1.1.107	Uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	Pseudarthrobacter sp. NamE2	250
M1SRF0_9PROT	EC:2.1.1.13	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	beta proteobacterium CB	150
C0QJK7_DESAH	EC:2.1.1.13	MetH2 (EC 2.1.1.13)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A223P5D0_9BURK	EC:2.1.1.13	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	Herbaspirillum sp. meg3	250
A0A7G6WPJ3_9MICC	EC:2.1.1.13	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	Pseudarthrobacter sp. NBSH8	250
C0QFF7_DESAH	EC:2.1.1.130	CbiL (EC 2.1.1.130)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
J2VLK5_9BURK	EC:2.1.1.130	Precorrin-2 C(20)-methyltransferase (EC 2.1.1.130)	Herbaspirillum sp. YR522	250
C0QFF2_DESAH	EC:2.1.1.131	CobJ (EC 2.1.1.131)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
D8IXP4_HERSS	EC:2.1.1.131	Bifunctional precorrin-3B C17-methyltransferase/precorrin isomerase protein (EC 2.1.1.131)	Herbaspirillum seropedicae (strain SmR1)	250
A0A1A8XZH6_9RHOO	EC:2.1.1.131	Precorrin-3 methyltransferase (EC 2.1.1.131)	Candidatus Propionivibrio aalborgensis	150
A0A449IMX6_PSEFR	EC:2.1.1.131	Precorrin-3B C(17)-methyltransferase CobJ (EC 2.1.1.131)	Pseudomonas fragi	650
C0QFF5_DESAH	EC:2.1.1.132	CobL (EC 2.1.1.132)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A1A8Y045_9RHOO	EC:2.1.1.132	Precorrin-6Y C5,15-methyltransferase (Decarboxylating) (EC 2.1.1.132)	Candidatus Propionivibrio aalborgensis	150
A0A5E7ENV7_PSEFL	EC:2.1.1.132	Precorrin-6Y C(5,15)-methyltransferase [decarboxylating] (EC 2.1.1.132)	Pseudomonas fluorescens	650
C0QFF4_DESAH	EC:2.1.1.133	CobM (EC 2.1.1.133)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
D8IXP5_HERSS	EC:2.1.1.133	Precorrin-4 C11-methyltransferase protein (EC 2.1.1.133)	Herbaspirillum seropedicae (strain SmR1)	250
A0A5B1BL23_MYCSI	EC:2.1.1.133	Precorrin-4 C(11)-methyltransferase (EC 2.1.1.133)	Mycobacterium simiae (Mycobacterium habana)	250
A0A2E7P250_9BURK	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	Herbaspirillum sp	650
A0A7D7KXK4_KOCVA	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	Kocuria varians (Micrococcus varians)	150
A0A5C4IVM6_9MICC	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	Pseudarthrobacter sp. NamE5	250
METE_PSEAE	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	250
A0A454TPP2_9RALS	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	Ralstonia pseudosolanacearum	650
A0A365D5Z4_9MICC	EC:2.1.1.144	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pseudarthrobacter sp. AG30	250
C0QBP5_DESAH	EC:2.1.1.148	FAD-dependent thymidylate synthase (EC 2.1.1.148)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
MENG_BACCQ	EC:2.1.1.163	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	Bacillus cereus (strain Q1)	250
M1SR36_9PROT	EC:2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	beta proteobacterium CB	150
C0Q9R2_DESAH	EC:2.1.1.163	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A7W8KP96_9BURK	EC:2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	Herbaspirillum sp. SJZ102	250
A0AAT9QMF6_9MICC	EC:2.1.1.163	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	Pseudarthrobacter sp. Fe7	250
M1T2T5_9PROT	EC:2.1.1.166	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	beta proteobacterium CB	150
E1YIH9_9BACT	EC:2.1.1.166	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	uncultured Desulfobacterium sp	150
A0A542MC37_9BURK	EC:2.1.1.166	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	Herbaspirillum sp. SJZ107	250
A0AB35SR51_9BACI	EC:2.1.1.170	16S rRNA (Guanine(527)-N(7))-methyltransferase RsmG (EC 2.1.1.170)	Bacillus cereus group sp. BfR-BA-01363	250
M1SDW0_9PROT	EC:2.1.1.170	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	beta proteobacterium CB	150
RSMG_NITV2	EC:2.1.1.170	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough) (Desulfovibrio vulgaris)	150
A0A7W8NYG4_9BURK	EC:2.1.1.170	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	Herbaspirillum sp. SJZ102	250
A0AB38YNS5_VEIPA	EC:2.1.1.170	16S rRNA (Guanine(527)-N(7))-methyltransferase RsmG (EC 2.1.1.170)	Veillonella parvula (Staphylococcus parvulus)	150
A0A7K1NRN3_9MICC	EC:2.1.1.171	16S rRNA (Guanine(966)-N(2))-methyltransferase RsmD (EC 2.1.1.171)	Pseudarthrobacter sp. GA104	250
K7RQG8_ACIA4	EC:2.1.1.172	Methyltransferase small domain-containing protein (EC 2.1.1.172)	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4) (Propionibacterium acidipropionici)	150
A0AAW8NCK3_PSEOX	EC:2.1.1.172	16S rRNA (Guanine1207-N2)-methyltransferase (EC 2.1.1.172)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
RSMC_PSEU2	EC:2.1.1.172	Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC)	Pseudomonas syringae pv. syringae (strain B728a)	250
M1T6W3_9PROT	EC:2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	beta proteobacterium CB	150
C0QI57_DESAH	EC:2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A5F0LTG8_9BURK	EC:2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	Herbaspirillum sp. 3C11	250
A0AAW8NDG4_PSEOX	EC:2.1.1.176	16S rRNA (Cytosine967-C5)-methyltransferase (EC 2.1.1.176)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A0N0JVK5_9PROT	EC:2.1.1.177	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	beta proteobacterium AAP99	150
A0A542M1J5_9BURK	EC:2.1.1.177	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	Herbaspirillum sp. SJZ107	250
A0A0N1B8C1_9PROT	EC:2.1.1.182	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	beta proteobacterium AAP99	150
A0A1W9U891_9BACT	EC:2.1.1.182	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	Desulfobacterium sp. 4572_20	250
A0A5F0LTQ9_9BURK	EC:2.1.1.182	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	Herbaspirillum sp. 3C11	250
A0A5R8VNB4_9MICC	EC:2.1.1.182	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	Pseudarthrobacter sp. NamB4	250
M1RSW9_9PROT	EC:2.1.1.185	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	beta proteobacterium CB	150
A0A445MWJ3_9BACT	EC:2.1.1.185	23S rRNA (Guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185)	uncultured Desulfobacterium sp	150
J2M3B4_9BURK	EC:2.1.1.185	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	Herbaspirillum sp. CF444	250
A0AAI8XRR3_MYCME	EC:2.1.1.185	23S rRNA (Guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185)	Mycolicibacterium mageritense (Mycobacterium mageritense)	150
A0AAW8NAX8_PSEOX	EC:2.1.1.185	23S rRNA (Guanosine2251-2'-O)-methyltransferase (EC 2.1.1.185)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
K7SL61_ACIA4	EC:2.1.1.187	Methyltransferase domain-containing protein (EC 2.1.1.187)	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4) (Propionibacterium acidipropionici)	150
A0AAW8NBN7_PSEOX	EC:2.1.1.187	23S rRNA (Guanine745-N1)-methyltransferase (EC 2.1.1.187)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0AAJ1SYS4_9MICC	EC:2.1.1.189	23S rRNA (Uracil747-C5)-methyltransferase (EC 2.1.1.189)	Pseudarthrobacter niigatensis	650
A0A0N1AF78_9PROT	EC:2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190) (23S rRNA(m5U1939)-methyltransferase)	beta proteobacterium AAP65	150
I3CWR4_9BURK	EC:2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD (EC 2.1.1.190) (23S rRNA(m5U1939)-methyltransferase)	Herbaspirillum sp. GW103	250
A0A7X0HTV6_9BACI	EC:2.1.1.191	23S rRNA (Cytosine1962-C5)-methyltransferase (EC 2.1.1.191)	Bacillus benzoevorans	650
A0A445MTI2_9BACT	EC:2.1.1.191	Ribosomal RNA large subunit methyltransferase I (EC 2.1.1.191)	uncultured Desulfobacterium sp	150
A0A0N0J8D4_9PROT	EC:2.1.1.192	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	beta proteobacterium AAP65	150
C0QKU6_DESAH	EC:2.1.1.192	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A7Y6CZD4_9BURK	EC:2.1.1.192	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	Herbaspirillum sp. C9C3	250
RLMN_PSEU2	EC:2.1.1.192	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	Pseudomonas syringae pv. syringae (strain B728a)	250
M1SEF2_9PROT	EC:2.1.1.193	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	beta proteobacterium CB	150
C0Q9B2_DESAH	EC:2.1.1.193	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
J3HUN2_9BURK	EC:2.1.1.193	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	Herbaspirillum sp. YR522	250
A0A7G6WL72_9MICC	EC:2.1.1.193	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	Pseudarthrobacter sp. NBSH8	250
C0QDA5_DESAH	EC:2.1.1.195	Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
I3CW79_9BURK	EC:2.1.1.195	Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)	Herbaspirillum sp. GW103	250
B6BUV2_9PROT	EC:2.1.1.197	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	beta proteobacterium KB13	150
J2VBK1_9BURK	EC:2.1.1.197	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	Herbaspirillum sp. YR522	250
A0A0N0JFR4_9PROT	EC:2.1.1.198	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	beta proteobacterium AAP51	150
C0QKT6_DESAH	EC:2.1.1.198	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
